,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,SALADE MON CHOU,01/11/2021,07/11/2021,1,441,13,"2,95 %",,"1,5",Chou Rouge,4,Pomme,1,Celeri,4,Carotte,4,Endive,,,,,,,,,,
,,SOLO DUO,01/11/2021,07/11/2021,2,441,58,"13,15 %",,1,Poireau,1,Oignon,1,Champignon,4,Pomme,4,Poire,5,PdT,4,Carotte,6,Œuf,,,,
,,FAMILIALE,01/11/2021,07/11/2021,2,441,0,"0,00 %",,2,Poireau,2,Oignon,1,Champignon,1,Navet,6,Carotte,8,PdT,,,,,,,,
,,RACLETTE,01/11/2021,07/11/2021,2,441,,"0,00 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,AUTOMNALE,01/11/2021,07/11/2021,2,441,70,"15,87 %","13,9",4,Tomate,6,Carotte,5,PdT,1,Salade,1,Echalote,2,Poireau,,,,,,,,
,,TWO P,01/11/2021,07/11/2021,2,441,49,"11,11 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,01/11/2021,07/11/2021,2,441,23,"5,22 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,COLOREE,01/11/2021,07/11/2021,2,441,23,"5,22 %","11,9",1,Potimarron,1,Mache,5,Carotte,1,Oignon,1,Echalote,1,Persil Plat,1,Butternut,,,,,,
,,RACLETTE,01/11/2021,07/11/2021,2,441,20,"4,54 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,DU PLACARD,01/11/2021,07/11/2021,2,441,2,"0,45 %","16,9",1,Pois Cassé,1,Haricots Blancs,1,Graines de Courge,1,Farine,1,Lentilles,1,Ail,,,,,,,,
,,RACLETTE,08/11/2021,14/11/2021,2,503,40,"7,95 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,TWO P,08/11/2021,14/11/2021,2,503,66,"13,12 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,SOLO DUO,08/11/2021,14/11/2021,1,503,64,"12,72 %",,1,Salade,1,Echalote,1,Champignon,3,Pomme,2,Poire,5,PdT,4,Carotte,6,Œuf,,,,
,,QUI CHANGE,08/11/2021,14/11/2021,2,503,31,"6,16 %",,3,Patate Douce,1,Epinard,1,Echalote,4,Tomate,1,Oignon,1,Ail,,,,,,,,
,,SOUPE ET POTEE,08/11/2021,14/11/2021,1,503,57,"11,33 %","9,8",5,Carotte,2,Poireau,1,Navet,5,PdT,1,Panais,1,Oignon,,,,,,,,
,,APERO,08/11/2021,14/11/2021,2,503,28,"5,57 %",,1,Saucisson,,Tomate,,,,,,,,,,,,,,,,
,,POMMEE,08/11/2021,14/11/2021,2,503,22,"4,37 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,AUTOMNALE,08/11/2021,14/11/2021,2,503,9,"1,79 %","13,9",4,Tomate,6,Carotte,5,PdT,1,Salade,1,Echalote,2,Poireau,,,,,,,,
,,SALADE MON CHOU,08/11/2021,14/11/2021,2,503,1,"0,20 %",,"1,5",Chou Rouge,4,Pomme,1,Celeri,4,Carotte,4,Endive,,,,,,,,,,
,,TWO P,15/11/2021,21/11/2021,2,433,58,"13,39 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,SOLO DUO,15/11/2021,21/11/2021,1,433,49,"11,32 %",,3,Pomme,2,Poire,6,Œuf,1,Champignon,4,Carotte,4,PdT,1,Salade,1,Echalote,,,,
,,COLOREE,15/11/2021,21/11/2021,1,433,42,"9,70 %","11,9",1,Mache,1,Echalote,1,Potimarron,6,PdT,1,Radis,,,,,,,,,,
,,POMMEE,15/11/2021,21/11/2021,2,433,18,"4,16 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,15/11/2021,21/11/2021,2,433,17,"3,93 %",,1,Saucisson,,Tomate,,,,,,,,,,,,,,,,
,,RACLETTE,15/11/2021,21/11/2021,2,433,10,"2,31 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,QUI CHANGE,15/11/2021,21/11/2021,1,433,5,"1,15 %","11,9",1,Scarole,1,Butternut,"1,5",Chou Rouge,3,Pomme,1,Echalote,1,Mache,2,Carotte,,,,,,
,,SOUPE ET POTEE,15/11/2021,21/11/2021,2,433,0,"0,00 %","9,8",5,Carotte,2,Poireau,1,Navet,5,PdT,1,Panais,1,Oignon,,,,,,,,
,,QUI CHANGE,22/11/2021,28/11/2021,2,386,32,"8,29 %","11,9",1,Scarole,1,Butternut,"1,5",Chou Rouge,3,Pomme,1,Echalote,1,Mache,2,Carotte,,,,,,
,,TARTIFLETTE,22/11/2021,28/11/2021,1,386,33,"8,55 %","14,9",1,Reblochon,12,PdT,1,Salade,,,,,,,,,,,,,,
,,SOLO DUO,22/11/2021,28/11/2021,2,386,26,"6,74 %",,3,Pomme,2,Poire,6,Œuf,1,Champignon,4,Carotte,4,PdT,1,Salade,1,Echalote,,,,
,,SOUPE ET POTEE,22/11/2021,28/11/2021,2,386,48,"12,44 %","9,8",5,Carotte,2,Poireau,1,Navet,5,PdT,1,Panais,1,Oignon,,,,,,,,
,,TWO P,22/11/2021,28/11/2021,2,386,43,"11,14 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,22/11/2021,28/11/2021,2,386,24,"6,22 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,22/11/2021,28/11/2021,2,386,17,"4,40 %",,1,Saucisson,,Tomate,,,,,,,,,,,,,,,,
,,COLOREE,22/11/2021,28/11/2021,2,386,10,"2,59 %","11,9",1,Mache,1,Echalote,1,Potimarron,6,PdT,1,Radis,,,,,,,,,,
,,SOUPE ET POTEE,29/11/2021,05/12/2021,1,448,59,"13,17 %","9,8",2,Poireau,6,PdT,1,Oignon,5,Carotte,1,Navet,1,Champignon,,,,,,,,
,,QUI CHANGE,29/11/2021,05/12/2021,1,448,36,"8,04 %","12,9",1,Potimarron,1,Lentilles,5,Carotte,6,Endive,1,Laurier,1,Oignon,,,,,,,,
,,TWO P,29/11/2021,05/12/2021,2,448,47,"10,49 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
