,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,QUI CHANGE,07/02/2022,13/02/2022,1,470,50,"10,64 %","11,9",1,Butternut,3,Poireau,4,Carotte,2,Oignon,5,PdT,1,Mache,1,Echalote,,,,,,
,,SOLO DUO,07/02/2022,13/02/2022,1,470,39,"8,30 %","11,9",1,Mache,1,Echalote,6,Œuf,3,Pomme,2,Poire,3,Carotte,1,Champignon,5,PdT,1,Oignon,,
,,SOUPE ET POTEE ,07/02/2022,13/02/2022,1,470,28,"5,96 %","10,9",5,Carotte,1,Oignon,1,Navet,6,PdT,"1,5",Chou,1,Celeri Branche,,,,,,,,
,,TWO P,07/02/2022,13/02/2022,2,470,63,"13,40 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,DES 6,07/02/2022,13/02/2022,2,470,42,"8,94 %",,6,Pomme,6,Endive,12,Noix,,,,,,,,,,,,,,
,,RACLETTE,07/02/2022,13/02/2022,2,470,14,"2,98 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,POMMEE,07/02/2022,13/02/2022,2,470,23,"4,89 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,CONFIT DE CANARD 2 CUISSES,07/02/2022,13/02/2022,1,470,13,"2,77 %",,,,,,,,,,,,,,,,,,,,,
,,APERO,07/02/2022,13/02/2022,2,470,13,"2,77 %",,1,Saucisson,,,,,,,,,,,,,,,,,,
,,TARTIFLETTE,07/02/2022,13/02/2022,1,470,5,"1,06 %","14,9",1,Reblochon,12,PdT,1,Salade,,,,,,,,,,,,,,
,,EN TERRASSE,07/02/2022,13/02/2022,1,470,2,"0,43 %",,,,,,,,,,,,,,,,,,,,,
,,TRUFFES,14/02/2022,20/02/2022,1,424,29,"6,84 %",,,Truffe,,,,,,,,,,,,,,,,,,
,,SOLO DUO,14/02/2022,20/02/2022,2,424,35,"8,25 %","11,9",1,Mache,1,Echalote,6,Œuf,3,Pomme,2,Poire,3,Carotte,1,Champignon,5,PdT,1,Oignon,,
,,SOUPE ET POTEE ,14/02/2022,20/02/2022,1,424,36,"8,49 %","12,9",1,Mache,1,Echalote,3,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,,,,,,
,,RACLETTE,14/02/2022,20/02/2022,2,424,16,"3,77 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,TWO P,14/02/2022,20/02/2022,2,424,37,"8,73 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,DES 6,14/02/2022,20/02/2022,2,424,44,"10,38 %",,6,Pomme,6,Endive,12,Noix,,,,,,,,,,,,,,
,,EN TERRASSE,14/02/2022,20/02/2022,2,424,21,"4,95 %",,,,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,14/02/2022,20/02/2022,1,424,19,"4,48 %","11,9",1,Butternut,3,Poireau,4,Carotte,2,Oignon,5,PdT,1,Mache,1,Echalote,,,,,,
,,POMMEE,14/02/2022,20/02/2022,2,424,21,"4,95 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,CONFIT DE CANARD 2 CUISSES,14/02/2022,20/02/2022,2,424,1,"0,24 %",,,,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,21/02/2022,27/02/2022,2,360,37,"10,28 %","11,9",1,Butternut,3,Poireau,4,Carotte,2,Oignon,5,PdT,1,Mache,1,Echalote,,,,,,
,,SOUPE ET POTEE ,21/02/2022,27/02/2022,2,360,40,"11,11 %","12,9",1,Mache,1,Echalote,3,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,,,,,,
,,SOLO DUO,21/02/2022,27/02/2022,2,360,32,"8,89 %","11,9",1,Mache,1,Echalote,6,Œuf,3,Pomme,2,Poire,3,Carotte,1,Champignon,5,PdT,1,Oignon,,
,,TWO P,21/02/2022,27/02/2022,2,360,36,"10,00 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,DES 6,21/02/2022,27/02/2022,2,360,43,"11,94 %",,6,Pomme,6,Endive,12,Noix,,,,,,,,,,,,,,
,,RACLETTE,21/02/2022,27/02/2022,2,360,14,"3,89 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,POMMEE,21/02/2022,27/02/2022,2,360,16,"4,44 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,21/02/2022,27/02/2022,2,360,9,"2,50 %",,1,Saucisson,,,,,,,,,,,,,,,,,,
,,EN TERRASSE,21/02/2022,27/02/2022,2,360,8,"2,22 %",,,,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,28/02/2022,06/03/2022,1,395,24,"6,08 %","11,9",1,Potimarron,2,Oignon,4,Carotte,1,Patate Douce,1,Mache,1,Echalote,1,Radis Red Meat,,,,,,
,,SOUPE ET POTEE ,28/02/2022,06/03/2022,2,395,37,"9,37 %","12,9",1,Mache,1,Echalote,3,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,,,,,,
,,SOLO DUO,28/02/2022,06/03/2022,2,395,40,"10,13 %","11,9",1,Mache,1,Echalote,6,Œuf,3,Pomme,2,Poire,3,Carotte,1,Champignon,5,PdT,1,Oignon,,
,,TWO P,28/02/2022,06/03/2022,2,395,44,"11,14 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,DES 6,28/02/2022,06/03/2022,2,395,35,"8,86 %",,6,Pomme,6,Endive,12,Noix,,,,,,,,,,,,,,
,,RACLETTE,28/02/2022,06/03/2022,2,395,6,"1,52 %",,1,Raclette,8,PdT,1,Salade,1,Echalote,1,Champignon,,,,,,,,,,
,,POMMEE,28/02/2022,06/03/2022,2,395,20,"5,06 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,28/02/2022,06/03/2022,2,395,19,"4,81 %",,1,Saucisson,,,,,,,,,,,,,,,,,,
,,MARDI GRAS,28/02/2022,06/03/2022,1,395,8,"2,03 %",,1,Bouteille Jus Pétillant,1,Farine,1,Lait,6,Œuf,,,,,,,,,,,,
,,DU JOUR,28/02/2022,06/03/2022,1,395,8,"2,03 %",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
