,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,QUI CHANGE,07/03/2022,13/03/2022,1,498,62,"12,45 %","11,9",1,Epinard,1,Radis,6,PdT,6,Noix,1,Patate Douce,1,Persil Plat,,,,,,,,
,,SOUPE ET POTEE ,07/03/2022,13/03/2022,2,498,34,"6,83 %","12,9",1,Mache,1,Echalote,3,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,,,,,,
,,SOLO DUO,07/03/2022,13/03/2022,2,498,46,"9,24 %","11,9",1,Mache,1,Echalote,6,Œuf,3,Pomme,2,Poire,3,Carotte,1,Champignon,5,PdT,1,Oignon,,
,,TWO P,07/03/2022,13/03/2022,2,498,30,"6,02 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,DES 6,07/03/2022,13/03/2022,2,498,49,"9,84 %",,6,Pomme,6,Endive,12,Noix,,,,,,,,,,,,,,
,,POTMARRON ET RADIS,07/03/2022,13/03/2022,1,498,3,"0,60 %",,,Potimarron,,Radis,,,,,,,,,,,,,,,,
,,LA DOUZE POMME,07/03/2022,13/03/2022,1,498,4,"0,80 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,07/03/2022,13/03/2022,2,498,19,"3,82 %",,1,Saucisson,,,,,,,,,,,,,,,,,,
,,EN TERRASSE,07/03/2022,13/03/2022,2,498,8,"1,61 %",,,,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,14/03/2022,20/03/2022,1,437,47,"10,76 %","12,9",1,Potimarron,1,Epinard,1,Radis,1,Oignon,1,Echalote,1,Ail,1,Persil Plat,4,PdT,,,,
,,SOLO DUO,14/03/2022,20/03/2022,1,437,53,"12,13 %","12,9",1,Salade,5,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,1,Echalote,6,Œuf,,,,
,,SOUPE ET POTEE ,14/03/2022,20/03/2022,2,437,29,"6,64 %","12,9",1,Mache,1,Echalote,3,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,,,,,,
,,LA DOUZE POMME,14/03/2022,20/03/2022,2,437,43,"9,84 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,DES 6,14/03/2022,20/03/2022,2,437,32,"7,32 %",,6,Pomme,6,Endive,12,Noix,,,,,,,,,,,,,,
,,EN TERRASSE,14/03/2022,20/03/2022,2,437,15,"3,43 %",,,,,,,,,,,,,,,,,,,,,
,,POMMEE,14/03/2022,20/03/2022,1,437,19,"4,35 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,22/03/2022,03/04/2022,1,459,74,"16,12 %","13,9",1,Asperge,1,Patate Douce,1,Salade,1,Echalote,4,Carotte,1,Radis,,,,,,,,
,,EN TERRASSE,22/03/2022,03/04/2022,2,459,32,"6,97 %",,,,,,,,,,,,,,,,,,,,,
,,DOUZE POMMES,22/03/2022,03/04/2022,2,459,25,"5,45 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,POMMEE,22/03/2022,03/04/2022,2,459,16,"3,49 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,DES 6,22/03/2022,03/04/2022,2,459,40,"8,71 %",,,,,,,,,,,,,,,,,,,,,
,,CROQUANTE,22/03/2022,03/04/2022,1,459,7,"1,53 %","12,9",1,Salade,4,Endive,1,Epinard,1,Concombre,2,Echalote,1,Radis,,,,,,,,
,,SOLO DUO,22/03/2022,03/04/2022,2,459,51,"11,11 %",1,Salade,5,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,1,Echalote,6,Œuf,1,Oignon,,,
,,SOUPE ET POTEE ,22/03/2022,03/04/2022,,459,30,"6,54 %","12,9",1,Mache,1,Echalote,3,Pomme,3,Carotte,1,Champignon,5,PdT,1,Oignon,,,,,,
