,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,1KG ASPERGE,04/04/2022,10/04/2022,2,529,77,"14,56 %",,1,Asperge,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,04/04/2022,10/04/2022,1,529,55,"10,40 %","13,9",1,Asperge,1,Salade,1,Echalote,1,Champignon,4,Carotte,1,Cresson,1,Concombre,,,,,,
,,SOLO DUO,04/04/2022,10/04/2022,1,529,45,"8,51 %",,1,Radis,1,Prune ,3,Carotte,1,Champignon,5,PdT,1,Oignon,1,Echalote,6,Œuf,,,,
,,DOUZE POMMES,04/04/2022,10/04/2022,2,529,55,"10,40 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,SOUPE ET POTEE,04/04/2022,10/04/2022,1,529,34,"6,43 %",,3,Poireau,7,PdT,1,Oignon,1,Navet,5,Carotte,1,Champignon,,,,,,,,
,,POMMEE,04/04/2022,10/04/2022,2,529,29,"5,48 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,EN TERRASSE,04/04/2022,10/04/2022,2,529,23,"4,35 %",,,,,,,,,,,,,,,,,,,,,
,,DES 6,04/04/2022,10/04/2022,2,529,15,"2,84 %",,,,,,,,,,,,,,,,,,,,,
,,1KG ASPERGE,11/04/2022,17/04/2022,2,414,60,"14,49 %",,1,Asperge,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,11/04/2022,17/04/2022,1,414,54,"13,04 %",,1,Concombre,1,Salade,1,Echalote,1,Radis,1,Persil Plat,4,Carotte,,,,,,,,
,,SOLO DUO,11/04/2022,17/04/2022,2,414,39,"9,42 %",,1,Radis,1,Prune ,3,Carotte,1,Champignon,5,PdT,1,Oignon,1,Echalote,6,Œuf,,,,
,,DOUZE POMMES,11/04/2022,17/04/2022,2,414,28,"6,76 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,SOUPE ET POTEE,11/04/2022,17/04/2022,2,414,16,"3,86 %",,3,Poireau,7,PdT,1,Oignon,1,Navet,5,Carotte,1,Champignon,,,,,,,,
,,POMMEE,11/04/2022,17/04/2022,2,414,21,"5,07 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,EN TERRASSE,11/04/2022,17/04/2022,2,414,27,"6,52 %",,,,,,,,,,,,,,,,,,,,,
,,DES 6,11/04/2022,17/04/2022,2,414,22,"5,31 %",,,,,,,,,,,,,,,,,,,,,
,,MOMENT,11/04/2022,17/04/2022,1,414,7,"1,69 %",,1,Epinard,1,Oignon,1,Poireau,4,PdT,4,Carotte,1,Champignon,,,,,,,,
,,APERO,18/04/2022,24/04/2022,1,489,25,"5,11 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,QUI CHANGE,18/04/2022,24/04/2022,1,489,70,"14,31 %","12,9",1,Salade,3,Tomate,1,Topinambour,3,Courgette,1,Concombre,3,Echalote,1,Oignon,,,,,,
,,SOLO DUO,18/04/2022,24/04/2022,1,489,56,"11,45 %","13,9",5,Poire,3,Carotte,3,Tomates Cocktail,1,Salade,5,PdT,1,Oignon,1,Echalote,2,Courgette,6,Œuf,,
,,MOMENT,18/04/2022,24/04/2022,1,489,57,"11,66 %","10,9",1,Epinard,1,Ail,6,PdT,1,Oignon,3,Tomate,,,,,,,,,,
,,1KG ASPERGE,18/04/2022,24/04/2022,2,489,,"0,00 %",,1,Asperge,,,,,,,,,,,,,,,,,,
,,POMME RHUBARBE ,18/04/2022,24/04/2022,1,489,,"0,00 %","9,5",8,Pomme,3,Rhubarbe,,,,,,,,,,,,,,,,
,,DES 6,18/04/2022,24/04/2022,1,489,14,"2,86 %",,6,Pomme,6,Endive,,,,,,,,,,,,,,,,
,,POMMEE,18/04/2022,24/04/2022,2,489,15,"3,07 %",,20,Pomme,,,,,,,,,,,,,,,,,,
,,LA DOUZE POMME,18/04/2022,24/04/2022,2,489,31,"6,34 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,25/04/2022,01/05/2022,1,443,44,"9,93 %","12,9",1,Salade,"1,50",Oignon blanc,4,Tomates Cocktail,1,Lentilles,2,Echalote,,,,,,,,,,
,,MOMENT,25/04/2022,01/05/2022,1,443,55,"12,42 %","13,9",3,Tomate,2,Courgette,1,Cresson,1,Champignon,4,Endive,,,,,,,,,,
,,SOLO DUO,25/04/2022,01/05/2022,1,443,55,"12,42 %","12,9",5,Pomme,6,Œuf,1,Salade,1,Echalote,2,Oignon blanc,2,Tomate,1,Champignon,,,,,,
,,1KG ASPERGE,25/04/2022,01/05/2022,2,443,74,"16,70 %",,1,Asperge,,,,,,,,,,,,,,,,,,
,,APERO,25/04/2022,01/05/2022,2,443,26,"5,87 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,POMME RHUBARBE ,25/04/2022,01/05/2022,2,443,4,"0,90 %","9,5",8,Pomme,3,Rhubarbe,,,,,,,,,,,,,,,,
,,DES 6,25/04/2022,01/05/2022,2,443,15,"3,39 %",,6,Pomme,6,Endive,,,,,,,,,,,,,,,,
,,POMMEE,25/04/2022,01/05/2022,2,443,13,"2,93 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,LA DOUZE POMMES,25/04/2022,01/05/2022,2,443,34,"7,67 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
