,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,QUI CHANGE,02/05/2022,08/05/2022,1,559,130,"23,26 %","15,8",1,Radis,3,Tomate,1,Salade,1,Fraise,,,,,,,,,,,,
,,MOMENT,02/05/2022,08/05/2022,1,559,85,"15,21 %","13,9",4,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Thym,1,Oignon,,,,,,,,
,,1KG ASPERGE,02/05/2022,08/05/2022,2,559,51,"9,12 %",,1,Asperge,,,,,,,,,,,,,,,,,,
,,SOLO DUO,02/05/2022,08/05/2022,1,559,52,"9,30 %","13,9",5,Pomme,2,Tomate,1,Oignon blanc,1,Echalote,2,Courgette,1,Ail,6,Œuf,1,Poivron,,,,
,,APERO,02/05/2022,08/05/2022,2,559,23,"4,11 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,LA DOUZE POMME,02/05/2022,08/05/2022,2,559,36,"6,44 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,POMMEE,02/05/2022,08/05/2022,2,559,24,"4,29 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,POMME RHUBARBE,02/05/2022,08/05/2022,2,559,19,"3,40 %","9,5",8,Pomme,3,Rhubarbe,,,,,,,,,,,,,,,,
,,DES 6,02/05/2022,08/05/2022,2,559,3,"0,54 %",,6,Pomme,6,Endive,,,,,,,,,,,,,,,,
,,1KG FRAISE,09/05/2022,15/05/2022,1,711,144,"20,25 %","14,9",1,Fraise,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,09/05/2022,15/05/2022,1,711,105,"14,77 %","15,9",3,Tomate,1,Oignon blanc,1,Epinard,1,Carotte,1,Fraise,1,Radis,,,,,,,,
,,MOMENT,09/05/2022,15/05/2022,1,711,113,"15,89 %","13,9",4,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Thym,1,Oignon,,,,,,,,
,,SOLO DUO,09/05/2022,15/05/2022,1,711,59,"8,30 %","13,9",5,Pomme,2,Tomate,1,Oignon blanc,1,Salade,1,Echalote,6,Œuf,1,Carotte,,,,,,
,,1KG ASPERGE,09/05/2022,15/05/2022,2,711,37,"5,20 %",,1,Asperge,,,,,,,,,,,,,,,,,,
,,LA DOUZE POMME,09/05/2022,15/05/2022,2,711,52,"7,31 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,09/05/2022,15/05/2022,2,711,23,"3,23 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,POMME RHUBARBE,09/05/2022,15/05/2022,2,711,19,"2,67 %","9,5",8,Pomme,3,Rhubarbe,,,,,,,,,,,,,,,,
,,POMMEE,09/05/2022,15/05/2022,2,711,18,"2,53 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,1KG FRAISE,16/05/2022,22/05/2022,2,921,288,"31,27 %","14,9",1,Fraise,,,,,,,,,,,,,,,,,,
,,MOMENT,16/05/2022,22/05/2022,1,921,131,"14,22 %","13,9",4,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Thym,1,Oignon,,,,,,,,
,,QUI CHANGE,16/05/2022,22/05/2022,1,921,88,"9,55 %","12,9",3,Tomate,1,Radis,1,Salade,1,Oignon Blanc,1,Carotte,1,Echalote,,,,,,,,
,,SOLO DUO,16/05/2022,22/05/2022,1,921,75,"8,14 %","12,9",5,Pomme,2,Tomate,1,Oignon blanc,1,Echalote,6,Œuf,2,Courgette,1,Oignon,1,Poivron,,,,
,,1KG ASPERGE,16/05/2022,22/05/2022,2,921,37,"4,02 %",,1,Asperge,,,,,,,,,,,,,,,,,,
,,APERO,16/05/2022,22/05/2022,2,921,37,"4,02 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,LA DOUZE POMME,16/05/2022,22/05/2022,2,921,29,"3,15 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,POMME RHUBARBE,16/05/2022,22/05/2022,2,921,13,"1,41 %","9,5",8,Pomme,3,Rhubarbe,,,,,,,,,,,,,,,,
,,POMMEE,16/05/2022,22/05/2022,2,921,8,"0,87 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,1KG FRAISE,23/05/2022,29/05/2022,2,912,157,"17,21 %","14,9",1,Fraise,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,23/05/2022,29/05/2022,1,912,123,"13,49 %","15,7",4,Tomate,1,Concombre,1,Echalote,1,Salade,1,Carotte,1,Fraise,6,PdT,,,,,,
,,MOMENT,23/05/2022,29/05/2022,1,912,103,"11,29 %","13,9",3,Courgette,1,Aubergine,1,Poivron,1,Oignon,1,Thym,5,Tomate,,,,,,,,
,,LA DOUZE POMME,23/05/2022,29/05/2022,2,912,54,"5,92 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,23/05/2022,29/05/2022,2,912,29,"3,18 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,POMME RHUBARBE,23/05/2022,29/05/2022,2,912,19,"2,08 %","9,5",8,Pomme,3,Rhubarbe,,,,,,,,,,,,,,,,
,,POMMEE,23/05/2022,29/05/2022,2,912,14,"1,54 %",,12,Pomme,,,,,,,,,,,,,,,,,,
,,CREPE LOCALE,23/05/2022,29/05/2022,2,912,17,"1,86 %",,,,,,,,,,,,,,,,,,,,,
,,500G FRAISE,23/05/2022,29/05/2022,1,912,127,"13,93 %",,1,Fraise,,,,,,,,,,,,,,,,,,
