,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,1KG FRAISE,06/06/2022,12/06/2022,2,1225,204,"16,65 %","14,9",1,Fraise,,,,,,,,,,,,,,,,,,
,,750G CERISE,06/06/2022,12/06/2022,2,1225,283,"23,10 %","11,5",1,Cerises,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,06/06/2022,12/06/2022,1,1225,149,"12,16 %","15,7",4,Tomate,1,Fraise,1,Concombre,2,Echalote,1,Persil Plat,1,Radis,,,,,,,,
,,DU MOMENT,06/06/2022,12/06/2022,1,1225,101,"8,24 %","13,9",5,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Oignon,1,Ail,,,,,,,,
,,SOLO DUO,06/06/2022,12/06/2022,1,1225,76,"6,20 %","13,5",1,Cerises,1,Œuf,3,Tomate,1,Echalote,2,Courgette,1,Carotte,1,Oignon,,,,,,
,,DU JOUR,06/06/2022,12/06/2022,2,1225,25,"2,04 %",,,,,,,,,,,,,,,,,,,,,
,,1KG RHUBARBE,06/06/2022,12/06/2022,1,1225,6,"0,49 %",,1,Rhubarbe,,,,,,,,,,,,,,,,,,
,,500G FRAISE,06/06/2022,12/06/2022,2,1225,109,"8,90 %",,1,Fraise,,,,,,,,,,,,,,,,,,
,,APERO,06/06/2022,12/06/2022,2,1225,6,"0,49 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,EN TERRASSE,06/06/2022,12/06/2022,2,1225,6,"0,49 %",,,,,,,,,,,,,,,,,,,,,
,,750G CERISE,13/06/2022,19/06/2022,2,1389,383,"27,57 %","11,5",1,Cerises,,,,,,,,,,,,,,,,,,
,,1KG FRAISE,13/06/2022,19/06/2022,2,1389,179,"12,89 %","14,9",1,Fraise,,,,,,,,,,,,,,,,,,
,,SOLO DUO,13/06/2022,19/06/2022,1,1389,134,"9,65 %","15,5",1,Fraise,1,Œuf,3,Tomate,1,Echalote,1,Poivron,1,Concombre,2,Courgette,1,Oignon,,,,
,,DU MOMENT,13/06/2022,19/06/2022,1,1389,132,"9,50 %","13,9",5,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Oignon,1,Ail,,,,,,,,
,,500G FRAISE,13/06/2022,19/06/2022,2,1389,91+70,#VALEUR !,,1,Fraise,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,13/06/2022,19/06/2022,1,1389,87,"6,26 %","15,7",1,Carottes Botte,1,Petits Pois,1,PdT,2,Tomate,2,Tomate Cerise,,,,,,,,,,
,,EN TERRASSE,13/06/2022,19/06/2022,2,1389,40,"2,88 %",,,,,,,,,,,,,,,,,,,,,
,,DU JOUR,13/06/2022,19/06/2022,2,1389,13,"0,94 %",,,,,,,,,,,,,,,,,,,,,
,,APERO,13/06/2022,19/06/2022,2,1389,3,"0,22 %","13,8",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,500G FRAISE,20/06/2022,26/06/2022,2,1450,196,"13,52 %",,1,Fraise,,,,,,,,,,,,,,,,,,
,,750G CERISE,20/06/2022,26/06/2022,2,1450,364,"25,10 %","11,5",1,Cerises,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,20/06/2022,26/06/2022,1,1450,192,"13,24 %","13,7",4,Tomate,1,Melon,1,Salade,1,Oignon Blanc,1,Concombre,1,Persil Plat,,,,,,,,
