,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,1KG FRAISE,04/07/2022,10/07/2022,2,1249,205,"16,41 %","14,9",1,Fraise,,,,,,,,,,,,,,,,,,
,,SOLO DUO,04/07/2022,10/07/2022,1,1249,129,"10,33 %","14,7",3,Tomate,2,Courgette,1,Oignon,1,Poivron,1,Cerises,6,Œuf,1,Melon,,,,,,
,,750G CERISE,04/07/2022,10/07/2022,2,1249,227,"18,17 %","9,5",1,Cerises,,,,,,,,,,,,,,,,,,
,,MOMENT,04/07/2022,10/07/2022,1,1249,93,"7,45 %","13,5",5,Tomate,1,Poivron,1,Aubergine,3,Courgette,1,Oignon,1,Ail,,,,,,,,
,,QUI CHANGE,04/07/2022,10/07/2022,1,1249,111,"8,89 %","14,5",6,Tomate,1,Carottes Botte,1,Melon,1,PdT,1,Echalote,,,,,,,,,,
,,EN TERRASSE,04/07/2022,10/07/2022,2,1249,39,"3,12 %",,,,,,,,,,,,,,,,,,,,,
,,APERO,04/07/2022,10/07/2022,2,1249,8,"0,64 %","14,9",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,500G FRAISE,04/07/2022,10/07/2022,2,1249,162,"12,97 %","7,5",1,Fraise,,,,,,,,,,,,,,,,,,
,,1KG FRAISE,11/07/2022,17/07/2022,2,898,90,"10,02 %",,,,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,11/07/2022,17/07/2022,1,898,135,"15,03 %","14,7",5,Tomate,1,Haricots Vert,1,Persil Plat,1,Concombre,1,Melon,1,Echalote,,,,,,,,
