,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,"1,5KG MIRABELLE",01/08/2022,07/08/2022,2,725,218,"30,07 %","10,4",1,Mirabelle,,,,,,,,,,,,,,,,,,
,,SOLO DUO,01/08/2022,07/08/2022,,725,137,"18,90 %","14,7",6,Œuf,3,Tomate,1,Melon,2,Courgette,1,Poivron,1,Oignon,1,Mirabelle,,,,,,
,,QUI CHANGE,01/08/2022,07/08/2022,1,725,93,"12,83 %","13,3",5,Tomate,1,Melon,1,Persil Plat,"1,5",Oignon Blanc,1,Salade,1,Echalote,,,,,,,,
,,MOMENT,01/08/2022,07/08/2022,1,725,83,"11,45 %","13,5",5,Tomate,3,Courgette,1,Oignon,1,Poivron,1,Aubergine,1,Ail,,,,,,,,
,,EN TERRASSE,01/08/2022,07/08/2022,2,725,20,"2,76 %","12,8",1,Gaspacho,1,Chips,2,Tomate Cerise,,,,,,,,,,,,,,
,,APERO,01/08/2022,07/08/2022,2,725,4,"0,55 %","12,9",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,"1,5KG MIRABELLE",08/08/2022,14/08/2022,2,629,183,"29,09 %","10,4",1,Mirabelle,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,08/08/2022,14/08/2022,1,629,102,"16,22 %","14,3",5,Tomate,"1,5",Oignon Blanc,1,Melon,1,Haricots Verts,1,Concombre,1,Carotte,,,,,,,,
,,SOLO DUO,08/08/2022,14/08/2022,1,629,78,"12,40 %","14,5",6,Œuf,3,Tomate,1,Melon,2,Courgette,1,Poivron,1,Haricots Verts,,,,,,,,
,,MOMENT,08/08/2022,14/08/2022,1,629,69,"10,97 %","13,5",5,Tomate,3,Courgette,1,Aubergine,1,Poivron,1,Oignon,1,Ail,,,,,,,,
,,EN TERRASSE,08/08/2022,14/08/2022,2,629,35,"5,56 %","12,8",1,Gaspacho,1,Chips,2,Tomate Cerise,,,,,,,,,,,,,,
,,APERO,08/08/2022,14/08/2022,2,629,1,"0,16 %","12,9",1,Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,
,,"1,5KG MIRABELLE",15/08/2022,21/08/2022,2,866,226,"26,10 %","10,4",1,Mirabelle,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,15/08/2022,21/08/2022,2,866,126,"14,55 %","14,3",5,Tomate,"1,5",Oignon Blanc,1,Melon,1,Haricots Verts,1,Concombre,1,Carotte,,,,,,,,
,,SOLO DUO,15/08/2022,21/08/2022,2,866,158,"18,24 %","14,5",6,Œuf,3,Tomate,1,Melon,2,Courgette,1,Poivron,1,Haricots Verts,,,,,,,,
,,MOMENT,15/08/2022,21/08/2022,2,866,118,"13,63 %","13,5",5,Tomate,3,Courgette,1,Aubergine,1,Poivron,1,Oignon,1,Ail,,,,,,,,
,,EN TERRASSE,15/08/2022,21/08/2022,2,866,24,"2,77 %","12,8",1,Gaspacho,1,Chips,2,Tomate Cerise,,,,,,,,,,,,,,
,,SOLO DUO,22/08/2022,28/08/2022,1,942,176,"18,68 %","14,5",1,Melon,6,Œuf,3,Tomate,6,PdT,1,Mirabelle,1,Salade,1,Echalote,,,,,,
,,QUI CHANGE,22/08/2022,28/08/2022,1,942,168,"17,83 %","13,7",1,Melon,1,Persil Plat,6,PdT,5,Tomate,2,Courgette,1,Poivron,,,,,,,,
,,MOMENT,22/08/2022,28/08/2022,1,942,114,"12,10 %","13,5",5,Tomate,1,Aubergine,1,Poivron,1,Oignon,3,Courgette,1,Thym,1,Laurier,,,,,,
,,"1,5KG PRUNE",22/08/2022,28/08/2022,1,942,142,"15,07 %","9,8",1,Prune,,,,,,,,,,,,,,,,,,
,,"1,5KG MIRABELLE",22/08/2022,28/08/2022,2,942,57,"6,05 %","10,4",1,Mirabelle,,,,,,,,,,,,,,,,,,
,,DU JOUR,22/08/2022,28/08/2022,1,942,31,"3,29 %",,,,,,,,,,,,,,,,,,,,,
,,EN TERRASSE,22/08/2022,28/08/2022,2,942,23,"2,44 %","12,8",1,Gaspacho,1,Chips,2,Tomate Cerise,,,,,,,,,,,,,,
,,APERO,22/08/2022,28/08/2022,1,942,11,"1,17 %","12,9",Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,,
