,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,QUI CHANGE,05/09/2022,11/09/2022,1,938,160,"17,06 %","14,5",1,Salade,1,Melon,5,Carotte,1,Haricots Verts,1,Concombre,4,Tomate,1,Oignon Blanc,,,,,,
,,SOLO DUO,05/09/2022,11/09/2022,1,938,181,"19,30 %","14,2",6,Œuf,3,Tomate,4,Carotte,6,PdT,1,Melon,4,Poire,1,Haricots Verts,,,,,,
,,FRUITS DE SAISON,06/09/2022,11/09/2022,1,938,191,"20,36 %",,1,Raisin,6,Poire,1,Prune,,,,,,,,,,,,,,
,,MOMENT,06/09/2022,11/09/2022,2,938,115,"12,26 %","13,5",5,Tomate,3,Courgette,1,Oignon,1,Poivron,1,Aubergine,1,Ail,,,,,,,,
,,APERO,07/09/2022,11/09/2022,2,938,31,"3,30 %",,,,,,,,,,,,,,,,,,,,,
,,"1,5KG PRUNES",07/09/2022,11/09/2022,2,938,8,"0,85 %","9,8",1,Prune,,,,,,,,,,,,,,,,,,
,,QUI CHANGE,12/09/2022,18/09/2022,1,1027,184,"17,92 %","14,5",1,Melon,1,Persil Plat,5,Carotte,1,Concombre,1,Oignon Blanc,1,Haricots Verts,1,,,,,,,
,,FRUITS DE SAISON,12/09/2022,18/09/2022,2,1027,248,"24,15 %","9,5",1,Raisin,8,Poire,1,Prune,,,,,,,,,,,,,,
,,SOLO DUO,12/09/2022,18/09/2022,1,1027,161,"15,68 %","12,7",6,Œuf,1,Oignon Blanc,2,Courgette,1,Poivron,3,Tomate,3,Poire,1,Salade,,,,,,
,,MOMENT,12/09/2022,18/09/2022,2,1027,131,"12,76 %","13,5",5,Tomate,3,Courgette,1,Oignon,1,Poivron,1,Aubergine,1,Ail,,,,,,,,
,,APERO,12/09/2022,18/09/2022,2,1027,35,"3,41 %","12,9",Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,,
,,QUI CHANGE,19/09/2022,25/09/2022,1,961,149,"15,50 %","12,5",2,Poireau,1,Salade,3,Tomate,1,Oignon,1,Concombre,1,Echalote,5,Carotte,,,,,,
,,MOMENT,19/09/2022,25/09/2022,2,961,126,"13,11 %","13,5",5,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Oignon Blanc,1,Ail,,,,,,,,
,,SOLO DUO,19/09/2022,25/09/2022,1,961,126,"13,11 %","11,8",6,Œuf,3,Carotte,2,Tomate,6,PdT,4,Poire,2,Courgette,1,Poivron,,,,,,
,,FRUITS DE SAISON,19/09/2022,25/09/2022,2,961,150,"15,61 %","9,5",8,Poire,1,Raisin,1,Prune,,,,,,,,,,,,,,
,,TWO P,19/09/2022,25/09/2022,1,961,90,"9,37 %","7,8",8,Poire,8,Pomme,,,,,,,,,,,,,,,,
