,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,SOLO DUO,03/10/2022,09/10/2022,1,993,165,"16,62 %","13,8",6,Œuf,3,Tomate,1,Champignon,4,Pomme,3,Poire,4,Carotte,5,PdT,1,Oignon,2,Courgette,,
,,QUI CHANGE,03/10/2022,09/10/2022,1,993,166,"16,72 %","11,5",5,Carotte,1,Champignon,1,Epinard,1,Ail,7,PdT,2,Poireau,,,,,,,,
,,DU MOMENT,03/10/2022,09/10/2022,2,993,112,"11,28 %","13,5",5,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Oignon,1,Ail,,,,,,,,
,,TWO P,03/10/2022,09/10/2022,2,993,128,"12,89 %","7,8",8,Poire,8,Pomme,,,,,,,,,,,,,,,,
,,POMMEE,03/10/2022,09/10/2022,2,993,40,"4,03 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,03/10/2022,09/10/2022,2,993,38,"3,83 %","12,9",Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,,
,,SOLO DUO,10/10/2022,16/10/2022,1,1079,180,"16,68 %","13,9",6,Œuf,4,Pomme,3,Poire,2,Poireau,4,Carotte,1,Oignon,5,PdT,3,Tomate,,,,
,,QUI CHANGE,10/10/2022,16/10/2022,1,1079,184,"17,05 %","13,8",1,Potimarron,3,Patate Douce,1,Oignon,1,Radis,5,Carotte,3,Tomate,,,,,,,,
,,DU MOMENT,10/10/2022,16/10/2022,1,1079,129,"11,96 %","13,5",3,Courgette,1,Aubergine,1,Poivron,5,Tomate,1,Oignon,1,Ail,,,,,,,,
,,TWO P,10/10/2022,16/10/2022,2,1079,157,"14,55 %","7,8",8,Poire,8,Pomme,,,,,,,,,,,,,,,,
,,POMMEE,10/10/2022,16/10/2022,2,1079,26,"2,41 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,10/10/2022,16/10/2022,2,1079,26,"2,41 %","12,9",Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,,
,,SOLO DUO,17/10/2022,23/10/2022,1,842,129,"15,32 %","13,9",6,Œuf,4,Pomme,3,Poire,4,Carotte,1,Oignon,5,PdT,3,Tomate,1,Champignon,,,,
,,QUI CHANGE,17/10/2022,23/10/2022,1,842,158,"18,76 %","14,7",1,Epinard,1,Champignon,2,Poireau,3,Courgette,5,Carotte,3,Tomate,,,,,,,,
,,DU MOMENT,17/10/2022,23/10/2022,2,842,98,"11,64 %","13,5",5,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Oignon,1,Ail,,,,,,,,
,,TWO P,17/10/2022,23/10/2022,2,842,123,"14,61 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,17/10/2022,23/10/2022,2,842,30,"3,56 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,17/10/2022,23/10/2022,2,842,30,"3,56 %","12,9",Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,,
,,SOLO DUO,24/10/2022,30/10/2022,2,647,101,"15,61 %","13,9",6,Œuf,4,Pomme,3,Poire,4,Carotte,1,Oignon,5,PdT,3,Tomate,1,Champignon,,,,
,,QUI CHANGE,24/10/2022,30/10/2022,2,647,97,"14,99 %","14,7",1,Epinard,1,Champignon,2,Poireau,3,Courgette,5,Carotte,3,Tomate,,,,,,,,
,,DU MOMENT,24/10/2022,30/10/2022,2,647,68,"10,51 %","13,5",5,Tomate,3,Courgette,1,Poivron,1,Aubergine,1,Oignon,1,Ail,,,,,,,,
,,TWO P,24/10/2022,30/10/2022,2,647,80,"12,36 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,24/10/2022,30/10/2022,2,647,25,"3,86 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,24/10/2022,30/10/2022,2,647,17,"2,63 %","12,9",Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
